P   10 | sti r7 276 0
P    7 | sti r7 276 0
P    1 | sti r7 273 0
P   11 | live 0
P   10 | live 0
P    7 | live -1
P    1 | live -1
P   11 | sti r10 270 0
P   10 | sti r10 274 0
P    7 | sti r10 274 0
P    1 | sti r10 270 0
P   11 | sti r7 273 0
P   10 | sti r7 276 0
P    7 | sti r7 276 0
P    1 | sti r7 273 0
P   11 | live 0
P   10 | live 0
P    7 | live -1
P    1 | live -1
P   11 | sti r10 270 0
P   10 | sti r10 274 0
P    7 | sti r10 274 0
P    1 | sti r10 270 0
P   11 | sti r7 273 0
P   10 | sti r7 276 0
P    8 | fork -5 (119)
P    7 | sti r7 276 0
P    1 | sti r7 273 0
P    8 | st r13 6
P    6 | fork 44 (181)
P   13 | ld 202068999 r10
P   12 | live -1
P   11 | live 0
P   10 | live 0
P    7 | live -1
P    6 | ld 190056971 r10
P    1 | live -1
P   13 | st r13 7
P    8 | live -1
P    6 | ld 135004416 r7
P   13 | ld 276 r8
P    9 | fork 6 (219)
P    6 | ld 273 r8
P    5 | fork 44 (219)
P   13 | ld 274 r11
P    6 | ld 270 r11
P   13 | ld 0 r12
P    6 | ld 0 r12
P   11 | sti r10 270 0
P   10 | sti r10 274 0
P    7 | sti r10 274 0
P    1 | sti r10 270 0
P   15 | zjmp 3 OK
P   14 | zjmp 3 OK
P    9 | zjmp 261 OK
P    5 | zjmp 299 OK
P   11 | sti r7 273 0
P   10 | sti r7 276 0
P    7 | sti r7 276 0
P    1 | sti r7 273 0
P   15 | sti r10 270 0
P   14 | sti r10 274 0
P    9 | sti r10 274 0
P    5 | sti r10 270 0
P   11 | live 0
P   10 | live 0
P    7 | live -1
P    1 | live -1
P   15 | sti r7 273 0
P   14 | sti r7 276 0
P    9 | sti r7 276 0
P    5 | sti r7 273 0
P   11 | sti r10 270 0
P   10 | sti r10 274 0
P    7 | sti r10 274 0
P    1 | sti r10 270 0
P   15 | live 0
P   14 | live 0
P    9 | live 0
P    5 | live 0
P   11 | sti r7 273 0
P   10 | sti r7 276 0
P    7 | sti r7 276 0
P    1 | sti r7 273 0
P   15 | sti r10 270 0
P   14 | sti r10 274 0
P    9 | sti r10 274 0
P    5 | sti r10 270 0
P   11 | live 0
P   10 | live 0
P    7 | live -1
P    1 | live -1
P   15 | sti r7 273 0
P   14 | sti r7 276 0
P    9 | sti r7 276 0
P    5 | sti r7 273 0
P   11 | sti r10 270 0
P   10 | sti r10 274 0
P    7 | sti r10 274 0
P    1 | sti r10 270 0
P   15 | live 0
P   14 | live 0
P    9 | live -1
P    5 | live -1
P   11 | sti r7 273 0
P   10 | sti r7 276 0
P    7 | sti r7 276 0
P    1 | sti r7 273 0
P   15 | sti r10 270 0
P   14 | sti r10 274 0
P    9 | sti r10 274 0
P    5 | sti r10 270 0
P   11 | live 0
P   10 | live 0
P    7 | live -1
P    1 | live -1
P   15 | sti r7 273 0
P   14 | sti r7 276 0
P    9 | sti r7 276 0
